run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.0713,2.0685,24.3,0,0,100,0.0000,0,0,494.37
1,1g/1024KiB,cpu,2.0776,2.0736,24.4,0,0,100,0.0000,0,0,492.87
2,1g/1024KiB,cpu,2.1045,2.0933,24.5,0,0,100,0.0000,0,0,486.58
0,1g/1024KiB,libtorrent,0.80954,0.819734,1032.92,100,100,100,0,0,1073741824,1264.92
1,1g/1024KiB,libtorrent,0.798196,0.809754,1033.03,100,100,100,0,0,1073741824,1282.89
2,1g/1024KiB,libtorrent,0.798847,0.810731,1033.03,100,100,100,0,0,1073741824,1281.85
0,1g/1024KiB,metal,4.4357,4.0148,1632.2,0,0,100,0.6997,0,1073741824,230.86
1,1g/1024KiB,metal,4.3885,4.0053,1640.9,0,0,100,0.6835,0,1073741824,233.34
2,1g/1024KiB,metal,7.5226,4.5288,1645.1,0,0,100,0.6781,0,1073741824,136.12
0,64m/1024KiB,libtorrent,0.0618586,0.059753,72.8281,100,100,100,0,0,67108864,1034.62
1,64m/1024KiB,libtorrent,0.0857495,0.067546,72.9062,100,100,100,0,0,67108864,746.36
2,64m/1024KiB,libtorrent,0.0628342,0.062862,72.9219,100,100,100,0,0,67108864,1018.55
0,64m/1024KiB,metal,0.4460,0.3294,351.0,0,0,100,0.1091,0,67108864,143.50
1,64m/1024KiB,metal,0.4122,0.3129,369.3,0,0,100,0.1108,0,67108864,155.27
2,64m/1024KiB,metal,0.3948,0.3080,373.7,0,0,100,0.1015,0,67108864,162.12
0,64m/1024KiB,cpu,0.1612,0.1568,9.2,0,0,100,0.0000,0,0,397.09
1,64m/1024KiB,cpu,0.1437,0.1421,9.5,0,0,100,0.0000,0,0,445.40
2,64m/1024KiB,cpu,0.1456,0.1441,9.5,0,0,100,0.0000,0,0,439.65
