run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.2834,2.2828,24.2,0,0,100,0.0000,0,0,448.45
1,1g/1024KiB,cpu,2.3101,2.3096,24.3,0,0,100,0.0000,0,0,443.26
2,1g/1024KiB,cpu,2.2882,2.2873,24.4,0,0,100,0.0000,0,0,447.51
0,1g/1024KiB,libtorrent,0.923058,0.930283,1032.97,100,100,100,0,0,1073741824,1109.36
1,1g/1024KiB,libtorrent,0.915243,0.922539,1033.03,100,100,100,0,0,1073741824,1118.83
2,1g/1024KiB,libtorrent,0.923506,0.930539,1033.03,100,100,100,0,0,1073741824,1108.82
0,1g/1024KiB,metal,4.6749,4.2984,1625.2,0,0,100,0.6446,0,1073741824,219.04
1,1g/1024KiB,metal,4.6671,4.2935,1634.0,0,0,100,0.6591,0,1073741824,219.41
2,1g/1024KiB,metal,4.6692,4.2940,1634.2,0,0,100,0.6647,0,1073741824,219.31
0,64m/1024KiB,libtorrent,0.0575945,0.058024,72.75,100,100,100,0,0,67108864,1111.22
1,64m/1024KiB,libtorrent,0.0578707,0.058307,72.8594,100,100,100,0,0,67108864,1105.91
2,64m/1024KiB,libtorrent,0.0583297,0.058803,72.8594,100,100,100,0,0,67108864,1097.21
0,64m/1024KiB,metal,0.3629,0.2694,351.6,0,0,100,0.0989,0,67108864,176.36
1,64m/1024KiB,metal,0.3459,0.2728,354.4,0,0,100,0.0934,0,67108864,185.03
2,64m/1024KiB,metal,0.3502,0.2731,355.6,0,0,100,0.0964,0,67108864,182.76
0,64m/1024KiB,cpu,0.1438,0.1446,9.0,0,0,100,0.0000,0,0,445.03
1,64m/1024KiB,cpu,0.1449,0.1451,9.2,0,0,100,0.0000,0,0,441.82
2,64m/1024KiB,cpu,0.1439,0.1442,9.3,0,0,100,0.0000,0,0,444.77
