run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.0713,2.0605,24.2,0,0,100,0.0000,0,0,494.38
1,1g/1024KiB,cpu,2.2233,2.1341,24.3,0,0,100,0.0000,0,0,460.57
2,1g/1024KiB,cpu,2.2070,2.1796,24.4,0,0,100,0.0000,0,0,463.98
0,1g/1024KiB,libtorrent,0.850798,0.851343,1032.91,100,100,100,0,0,1073741824,1203.58
1,1g/1024KiB,libtorrent,0.84853,0.850795,1033,100,100,100,0,0,1073741824,1206.79
2,1g/1024KiB,libtorrent,0.849816,0.844815,1033,100,100,100,0,0,1073741824,1204.97
0,1g/1024KiB,metal,4.6661,4.2126,1629.3,0,0,100,0.6898,0,1073741824,219.46
1,1g/1024KiB,metal,4.4214,4.0841,1650.6,0,0,100,0.6304,0,1073741824,231.60
2,1g/1024KiB,metal,4.3791,4.0262,1650.8,0,0,100,0.6470,0,1073741824,233.84
0,64m/1024KiB,libtorrent,0.0538739,0.054333,72.7812,100,100,100,0,0,67108864,1187.96
1,64m/1024KiB,libtorrent,0.0515396,0.051961,72.875,100,100,100,0,0,67108864,1241.76
2,64m/1024KiB,libtorrent,0.0552199,0.055656,72.875,100,100,100,0,0,67108864,1159
0,64m/1024KiB,metal,0.3757,0.2843,351.5,0,0,100,0.1039,0,67108864,170.35
1,64m/1024KiB,metal,0.3474,0.2625,354.4,0,0,100,0.1058,0,67108864,184.25
2,64m/1024KiB,metal,0.3471,0.2658,354.5,0,0,100,0.1018,0,67108864,184.40
0,64m/1024KiB,cpu,0.1384,0.1389,9.2,0,0,100,0.0000,0,0,462.48
1,64m/1024KiB,cpu,0.1390,0.1393,9.4,0,0,100,0.0000,0,0,460.49
2,64m/1024KiB,cpu,0.1393,0.1396,9.4,0,0,100,0.0000,0,0,459.44
