run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,cpu,0.1419,0.1425,9.2,0,0,100,0.0000,0,0,451.06
1,64m/1024KiB,cpu,0.1426,0.1428,9.3,0,0,100,0.0000,0,0,448.71
2,64m/1024KiB,cpu,0.1299,0.1299,9.5,0,0,100,0.0000,0,0,492.74
0,64m/1024KiB,libtorrent,0.0509822,0.051412,72.7969,100,100,100,0,0,67108864,1255.34
1,64m/1024KiB,libtorrent,0.0569872,0.057455,72.8906,100,100,100,0,0,67108864,1123.06
2,64m/1024KiB,libtorrent,0.0567756,0.057273,72.8906,100,100,100,0,0,67108864,1127.24
0,64m/1024KiB,metal,0.3912,0.2904,351.5,0,0,100,0.1109,0,67108864,163.60
1,64m/1024KiB,metal,0.3510,0.2745,354.6,0,0,100,0.0975,0,67108864,182.33
2,64m/1024KiB,metal,0.3462,0.2686,355.7,0,0,100,0.0983,0,67108864,184.86
0,1g/1024KiB,libtorrent,0.918954,0.926243,1032.91,100,100,100,0,0,1073741824,1114.31
1,1g/1024KiB,libtorrent,0.913665,0.919719,1032.97,100,100,100,0,0,1073741824,1120.76
2,1g/1024KiB,libtorrent,0.918045,0.924926,1032.97,100,100,100,0,0,1073741824,1115.41
0,1g/1024KiB,metal,4.7139,4.3074,1629.5,0,0,100,0.6800,0,1073741824,217.23
1,1g/1024KiB,metal,4.6952,4.2973,1638.2,0,0,100,0.6640,0,1073741824,218.10
2,1g/1024KiB,metal,4.7051,4.3112,1638.3,0,0,100,0.6682,0,1073741824,217.63
0,1g/1024KiB,cpu,2.2803,2.2801,24.2,0,0,100,0.0000,0,0,449.07
1,1g/1024KiB,cpu,2.2805,2.2800,24.4,0,0,100,0.0000,0,0,449.03
2,1g/1024KiB,cpu,2.2889,2.2783,24.4,0,0,100,0.0000,0,0,447.37
