run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.2932,2.2873,24.2,0,0,100,0.0000,0,0,446.53
1,1g/1024KiB,cpu,2.2991,2.2934,24.3,0,0,100,0.0000,0,0,445.40
2,1g/1024KiB,cpu,2.2980,2.2964,24.3,0,0,100,0.0000,0,0,445.60
0,1g/1024KiB,libtorrent,0.927198,0.934111,1032.91,100,100,100,0,0,1073741824,1104.4
1,1g/1024KiB,libtorrent,0.913838,0.920081,1032.98,100,100,100,0,0,1073741824,1120.55
2,1g/1024KiB,libtorrent,0.926056,0.933299,1032.98,100,100,100,0,0,1073741824,1105.76
0,1g/1024KiB,metal,4.7184,4.3303,1625.2,0,0,100,0.6703,0,1073741824,217.02
1,1g/1024KiB,metal,4.6731,4.3144,1636.5,0,0,100,0.6563,0,1073741824,219.12
2,1g/1024KiB,metal,4.6785,4.3093,1636.7,0,0,100,0.6565,0,1073741824,218.87
0,64m/1024KiB,libtorrent,0.0584818,0.058961,72.7812,100,100,100,0,0,67108864,1094.36
1,64m/1024KiB,libtorrent,0.0586592,0.059131,72.875,100,100,100,0,0,67108864,1091.05
2,64m/1024KiB,libtorrent,0.0583032,0.058751,72.875,100,100,100,0,0,67108864,1097.71
0,64m/1024KiB,metal,0.3732,0.2709,351.6,0,0,100,0.1030,0,67108864,171.47
1,64m/1024KiB,metal,0.3474,0.2740,354.6,0,0,100,0.0936,0,67108864,184.22
2,64m/1024KiB,metal,0.3494,0.2720,354.7,0,0,100,0.0973,0,67108864,183.18
0,64m/1024KiB,cpu,0.1443,0.1450,9.1,0,0,100,0.0000,0,0,443.46
1,64m/1024KiB,cpu,0.1436,0.1439,9.2,0,0,100,0.0000,0,0,445.81
2,64m/1024KiB,cpu,0.1452,0.1452,9.5,0,0,100,0.0000,0,0,440.82
