run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,cpu,0.1430,0.1435,9.0,0,0,100,0.0000,0,0,447.69
1,64m/1024KiB,cpu,0.1376,0.1376,9.1,0,0,100,0.0000,0,0,465.19
2,64m/1024KiB,cpu,0.1389,0.1391,9.2,0,0,100,0.0000,0,0,460.83
0,64m/1024KiB,libtorrent,0.0555514,0.055953,72.8125,100,100,100,0,0,67108864,1152.09
1,64m/1024KiB,libtorrent,0.056293,0.05387,72.8906,100,100,100,0,0,67108864,1136.91
2,64m/1024KiB,libtorrent,0.0573001,0.057747,72.8906,100,100,100,0,0,67108864,1116.93
0,64m/1024KiB,metal,0.3774,0.2823,351.6,0,0,100,0.1002,0,67108864,169.57
1,64m/1024KiB,metal,0.3519,0.2763,354.4,0,0,100,0.0956,0,67108864,181.85
2,64m/1024KiB,metal,0.3454,0.2681,354.7,0,0,100,0.0954,0,67108864,185.28
0,1g/1024KiB,libtorrent,0.914945,0.920353,1032.89,100,100,100,0,0,1073741824,1119.19
1,1g/1024KiB,libtorrent,0.922641,0.929533,1032.95,100,100,100,0,0,1073741824,1109.86
2,1g/1024KiB,libtorrent,0.909945,0.898656,1032.95,100,100,100,0,0,1073741824,1125.34
0,1g/1024KiB,metal,4.6562,4.2489,1637.8,0,0,100,0.6765,0,1073741824,219.92
1,1g/1024KiB,metal,4.6491,4.2372,1648.5,0,0,100,0.6818,0,1073741824,220.26
2,1g/1024KiB,metal,4.5884,4.2151,1648.7,0,0,100,0.6625,0,1073741824,223.17
0,1g/1024KiB,cpu,2.2350,2.2192,24.2,0,0,100,0.0000,0,0,458.17
1,1g/1024KiB,cpu,2.2418,2.2341,24.3,0,0,100,0.0000,0,0,456.77
2,1g/1024KiB,cpu,2.2257,2.2175,24.4,0,0,100,0.0000,0,0,460.08
