run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,1g/1024KiB,cpu,2.2976,2.2568,24.3,0,0,100,0.0000,0,0,445.67
1,1g/1024KiB,cpu,2.2459,2.2436,24.4,0,0,100,0.0000,0,0,455.94
2,1g/1024KiB,cpu,2.2441,2.2418,24.4,0,0,100,0.0000,0,0,456.30
0,1g/1024KiB,libtorrent,0.894395,0.901876,1032.91,100,100,100,0,0,1073741824,1144.91
1,1g/1024KiB,libtorrent,0.911126,0.902582,1032.97,100,100,100,0,0,1073741824,1123.88
2,1g/1024KiB,libtorrent,0.892762,0.900011,1032.98,100,100,100,0,0,1073741824,1147
0,1g/1024KiB,metal,4.6011,4.2116,1622.0,0,0,100,0.6557,0,1073741824,222.56
1,1g/1024KiB,metal,4.5462,4.1682,1636.0,0,0,100,0.6581,0,1073741824,225.24
2,1g/1024KiB,metal,4.6937,4.2190,1639.8,0,0,100,0.6857,0,1073741824,218.16
0,64m/1024KiB,libtorrent,0.0643638,0.057896,72.8281,100,100,100,0,0,67108864,994.348
1,64m/1024KiB,libtorrent,0.060119,0.059581,72.9219,100,100,100,0,0,67108864,1064.56
2,64m/1024KiB,libtorrent,0.0548094,0.053696,72.9219,100,100,100,0,0,67108864,1167.68
0,64m/1024KiB,metal,0.3610,0.2613,350.9,0,0,100,0.1034,0,67108864,177.31
1,64m/1024KiB,metal,0.3205,0.2445,359.0,0,0,100,0.0912,0,67108864,199.68
2,64m/1024KiB,metal,0.3218,0.2432,361.8,0,0,100,0.0961,0,67108864,198.88
0,64m/1024KiB,cpu,0.1281,0.1279,9.2,0,0,100,0.0000,0,0,499.50
1,64m/1024KiB,cpu,0.1290,0.1288,9.4,0,0,100,0.0000,0,0,496.29
2,64m/1024KiB,cpu,0.1269,0.1268,9.4,0,0,100,0.0000,0,0,504.50
