run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/16384KiB,cpu,0.1413,0.1420,9.0,0,0,100,0.0000,0,0,452.89
1,64m/16384KiB,cpu,0.1423,0.1427,9.1,0,0,100,0.0000,0,0,449.69
2,64m/16384KiB,cpu,0.1378,0.1381,9.4,0,0,100,0.0000,0,0,464.52
3,64m/16384KiB,cpu,0.1416,0.1419,9.5,0,0,100,0.0000,0,0,452.01
4,64m/16384KiB,cpu,0.1406,0.1409,9.6,0,0,100,0.0000,0,0,455.04
5,64m/16384KiB,cpu,0.1415,0.1418,9.7,0,0,100,0.0000,0,0,452.26
6,64m/16384KiB,cpu,0.1383,0.1384,9.7,0,0,100,0.0000,0,0,462.61
7,64m/16384KiB,cpu,0.1420,0.1423,9.7,0,0,100,0.0000,0,0,450.64
8,64m/16384KiB,cpu,0.1423,0.1426,9.7,0,0,100,0.0000,0,0,449.80
9,64m/16384KiB,cpu,0.1417,0.1421,9.8,0,0,100,0.0000,0,0,451.51
0,64m/16384KiB,libtorrent,0.0555948,0.05567,72.9219,100,100,100,0,0,67108864,1151.19
1,64m/16384KiB,libtorrent,0.0562838,0.056298,72.9688,100,100,100,0,0,67108864,1137.1
2,64m/16384KiB,libtorrent,0.0537215,0.0538,72.9688,100,100,100,0,0,67108864,1191.33
3,64m/16384KiB,libtorrent,0.0572465,0.057369,72.9844,100,100,100,0,0,67108864,1117.97
4,64m/16384KiB,libtorrent,0.0565981,0.056699,73.0156,100,100,100,0,0,67108864,1130.78
5,64m/16384KiB,libtorrent,0.0561317,0.055861,73.0312,100,100,100,0,0,67108864,1140.18
6,64m/16384KiB,libtorrent,0.0560505,0.055929,73.0625,100,100,100,0,0,67108864,1141.83
7,64m/16384KiB,libtorrent,0.0558474,0.055942,73.0625,100,100,100,0,0,67108864,1145.98
8,64m/16384KiB,libtorrent,0.0548873,0.054972,73.125,100,100,100,0,0,67108864,1166.03
