run,cell,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,cpu,0.1428,0.1435,9.0,0,0,100,0.0000,0,0,448.06
1,64m/1024KiB,cpu,0.1337,0.1341,9.2,0,0,100,0.0000,0,0,478.73
2,64m/1024KiB,cpu,0.1395,0.1399,9.2,0,0,100,0.0000,0,0,458.66
0,64m/1024KiB,libtorrent,0.0495909,0.050156,72.7969,100,100,100,0,0,67108864,1290.56
1,64m/1024KiB,libtorrent,0.0495075,0.050066,72.8906,100,100,100,0,0,67108864,1292.73
2,64m/1024KiB,libtorrent,0.0495061,0.050026,72.9062,100,100,100,0,0,67108864,1292.77
0,64m/1024KiB,metal,0.3678,0.2685,351.6,0,0,100,0.1053,0,67108864,173.99
1,64m/1024KiB,metal,0.3488,0.2708,354.4,0,0,100,0.0980,0,67108864,183.47
2,64m/1024KiB,metal,0.3596,0.2707,354.5,0,0,100,0.1100,0,67108864,177.96
0,1g/1024KiB,libtorrent,0.922938,0.930616,1032.91,100,100,100,0,0,1073741824,1109.5
1,1g/1024KiB,libtorrent,0.92295,0.930585,1032.97,100,100,100,0,0,1073741824,1109.49
2,1g/1024KiB,libtorrent,0.921895,0.929473,1032.97,100,100,100,0,0,1073741824,1110.76
0,1g/1024KiB,metal,4.6888,4.3016,1624.1,0,0,100,0.6690,0,1073741824,218.39
1,1g/1024KiB,metal,4.6332,4.2797,1634.1,0,0,100,0.6480,0,1073741824,221.01
2,1g/1024KiB,metal,4.6347,4.2729,1634.2,0,0,100,0.6626,0,1073741824,220.94
0,1g/1024KiB,cpu,2.2759,2.2763,24.2,0,0,100,0.0000,0,0,449.93
1,1g/1024KiB,cpu,2.2732,2.2730,24.3,0,0,100,0.0000,0,0,450.46
2,1g/1024KiB,cpu,2.2492,2.2492,24.4,0,0,100,0.0000,0,0,455.28
