run,backend,wall_s,cpu_s,peak_rss_mb,thermal_before,thermal_after,cpu_speed_limit,gpu_wall_s,fallbacks,staged_bytes,throughput_mib_s
0,64m/1024KiB,cpu,0.1416,0.1421,9.3,0,0,100,0.0000,0,0,451.92
1,64m/1024KiB,cpu,0.1402,0.1405,9.4,0,0,100,0.0000,0,0,456.37
2,64m/1024KiB,cpu,0.1389,0.1390,9.5,0,0,100,0.0000,0,0,460.74
0,64m/1024KiB,libtorrent,0.0552488,0.055867,72.8281,100,100,100,0,0,67108864,1158.4
1,64m/1024KiB,libtorrent,0.0564628,0.056964,72.9062,100,100,100,0,0,67108864,1133.49
2,64m/1024KiB,libtorrent,0.0560055,0.056548,72.9062,100,100,100,0,0,67108864,1142.74
0,64m/1024KiB,metal,0.3817,0.2810,351.1,0,0,100,0.1038,0,67108864,167.65
1,64m/1024KiB,metal,0.3506,0.2696,353.6,0,0,100,0.0983,0,67108864,182.54
2,64m/1024KiB,metal,0.3515,0.2711,357.3,0,0,100,0.1019,0,67108864,182.09
0,1g/1024KiB,libtorrent,0.896228,0.904659,1032.97,100,100,100,0,0,1073741824,1142.57
1,1g/1024KiB,libtorrent,0.888224,0.895965,1033.03,100,100,100,0,0,1073741824,1152.86
2,1g/1024KiB,libtorrent,0.894121,0.90204,1033.03,100,100,100,0,0,1073741824,1145.26
0,1g/1024KiB,metal,4.6313,4.1879,1636.4,0,0,100,0.6796,0,1073741824,221.10
1,1g/1024KiB,metal,4.6210,4.1800,1652.1,0,0,100,0.6960,0,1073741824,221.60
2,1g/1024KiB,metal,4.6040,4.2098,1656.2,0,0,100,0.6759,0,1073741824,222.42
0,1g/1024KiB,cpu,2.2136,2.2081,24.2,0,0,100,0.0000,0,0,462.60
1,1g/1024KiB,cpu,2.2363,2.2320,24.3,0,0,100,0.0000,0,0,457.89
2,1g/1024KiB,cpu,2.2640,2.2612,24.4,0,0,100,0.0000,0,0,452.29
